Treatment	Date	Spore+Veg	Spore	UniqueID
D1	12-May	305	13	D1.1
D1	12-May	246	26	D1.2
D1	12-May	245	16	D1.3
D1	10-May	347	137	D1.4
D1	10-May	568	100	D1.5
D1	10-May	244	205	D1.6
D1	22-May	164	120	D1.7
D1	22-May	144	98	D1.8
D1	22-May	164	99	D1.9
D1	27-May	18	25	D1.10
D1	27-May	21	21	D1.11
D1	27-May	16	27	D1.12
D1630	12-May	254	126	D1630.1
D1630	12-May	249	93	D1630.2
D1630	12-May	60	26	D1630.3
D1630	10-May	408	234	D1630.4
D1630	10-May	318	286	D1630.5
D1630	10-May	283	294	D1630.6
D1630	27-May	18	24	D1630.7
D1630	27-May	19	10	D1630.8
D1630	27-May	121	49	D1630.9
D1630Gly	12-May	145	6	D1630Gly.1
D1630Gly	12-May	175	22	D1630Gly.2
D1630Gly	27-May	271	10	D1630Gly.3
D1630Gly	27-May	32	19	D1630Gly.4
D1630Gly	27-May	67	22	D1630Gly.5
Neg	12-May	254	94	N.1
Neg	12-May	214	114	N.2
Neg	12-May	167	95	N.3
Neg	10-May	376	287	N.4
Neg	10-May	428	284	N.5
Neg	10-May	439	252	N.6
Neg	22-May	167	135	N.7
Neg	22-May	149	147	N.8
Neg	22-May	138	147	N.9
Neg	27-May	34	19	N.10
Neg	27-May	51	35	N.11
Neg	27-May	90	39	N.12
PBS	12-May	186	89	PBS.1
PBS	12-May	191	115	PBS.2
PBS	12-May	181	104	PBS.3
PBS	22-May	168	138	PBS.4
PBS	22-May	168	92	PBS.5
PBS	22-May	137	124	PBS.6
PBS	27-May	15	12	PBS.7
PBS	27-May	18	10	PBS.8
PBS	27-May	21	15	PBS.9
Pos	12-May	213	18	P.1
Pos	12-May	412	44	P.2
Pos	12-May	287	20	P.3
Pos	10-May	489	174	P.4
Pos	10-May	507	110	P.5
Pos	10-May	488	141	P.6
Pos	22-May	152	80	P.7
Pos	22-May	196	84	P.8
Pos	22-May	179	94	P.9
Pos	27-May	22	20	P.10
Pos	27-May	15	8	P.11
Pos	27-May	30	6	P.12
