Mouse 	Cage	Gender	Co_Housed	Genotype	Treatment_Grp	Treatment_1	Treatment_2	Colonization_stat630	Experiment 	Day	CFU
710_1	710	female	no	WT	Naive_Mock	mock	mock	unchallenged  	2013	40	0.00E+00
710_2	710	female	no	WT	Naive_Mock	mock	mock	unchallenged  	2013	40	0.00E+00
710_3	710	female	no	WT	Naive_Mock	mock	mock	unchallenged  	2013	40	0.00E+00
710_4	710	female	no	WT	Naive_VPI	mock	VPI	unchallenged  	2013	40	0.00E+00
710_5	710	female	no	WT	Naive_VPI	mock	VPI	unchallenged  	2013	40	0.00E+00
711_1	711	female	no	WT	Naive_Mock	mock	mock	unchallenged  	2013	40	0.00E+00
711_2	711	female	no	WT	Naive_VPI	mock	VPI	unchallenged  	2013	40	0.00E+00
711_3	711	female	no	WT	Naive_VPI	mock	VPI	unchallenged  	2013	40	0.00E+00
712_1	712	female	no	WT	630_Mock	630	mock	colonized 	2013	40	1.33E+07
712_2	712	female	no	WT	630_Mock	630	mock	colonized 	2013	40	1.95E+07
712_3	712	female	no	WT	630_VPI 	630	VPI	colonized 	2013	40	1.25E+07
712_4	712	female	no	WT	630_VPI 	630	VPI	colonized 	2013	40	7.80E+06
713_1	713	female	no	WT	630_Mock	630	mock	colonized 	2013	40	1.72E+07
713_2	713	female	no	WT	630_Mock	630	mock	colonized 	2013	40	1.06E+07
713_3	713	female	no	WT	630_Mock	630	mock	colonized 	2013	40	1.74E+07
713_4	713	female	no	WT	630_VPI 	630	VPI	colonized 	2013	40	6.00E+06
713_5	713	female	no	WT	630_VPI 	630	VPI	colonized 	2013	40	2.42E+07
714_1	714	female	no	WT	630_Mock	630	mock	cleared	2013	40	0.00E+00
714_2	714	female	no	WT	630_Mock	630	mock	cleared	2013	40	0.00E+00
714_3	714	female	no	WT	630_VPI 	630	VPI	cleared	2013	40	0.00E+00
714_4	714	female	no	WT	630_VPI 	630	VPI	cleared	2013	40	0.00E+00
715_1	715	female	no	WT	630_Mock	630	mock	colonized 	2013	40	1.91E+05
715_2	715	female	no	WT	630_Mock	630	mock	colonized 	2013	40	8.80E+04
715_3	715	female	no	WT	630_VPI 	630	VPI	colonized 	2013	40	1.78E+06
715_4	715	female	no	WT	630_VPI 	630	VPI	colonized 	2013	40	7.10E+03
715_5	715	female	no	WT	630_VPI 	630	VPI	colonized 	2013	40	8.50E+05
710_1	710	female	no	WT	Naive_Mock	mock	mock	unchallenged  	2013	42	0.00E+00
710_2	710	female	no	WT	Naive_Mock	mock	mock	unchallenged  	2013	42	0.00E+00
710_3	710	female	no	WT	Naive_Mock	mock	mock	unchallenged  	2013	42	0.00E+00
710_4	710	female	no	WT	Naive_VPI	mock	VPI	unchallenged  	2013	42	0.00E+00
710_5	710	female	no	WT	Naive_VPI	mock	VPI	unchallenged  	2013	42	0.00E+00
711_1	711	female	no	WT	Naive_Mock	mock	mock	unchallenged  	2013	42	0.00E+00
711_2	711	female	no	WT	Naive_VPI	mock	VPI	unchallenged  	2013	42	0.00E+00
711_3	711	female	no	WT	Naive_VPI	mock	VPI	unchallenged  	2013	42	0.00E+00
712_1	712	female	no	WT	630_Mock	630	mock	colonized 	2013	42	5.90E+07
712_2	712	female	no	WT	630_Mock	630	mock	colonized 	2013	42	1.00E+08
712_3	712	female	no	WT	630_VPI 	630	VPI	colonized 	2013	42	6.00E+07
712_4	712	female	no	WT	630_VPI 	630	VPI	colonized 	2013	42	1.05E+08
713_1	713	female	no	WT	630_Mock	630	mock	colonized 	2013	42	2.16E+08
713_2	713	female	no	WT	630_Mock	630	mock	colonized 	2013	42	1.78E+08
713_3	713	female	no	WT	630_Mock	630	mock	colonized 	2013	42	1.27E+08
713_4	713	female	no	WT	630_VPI 	630	VPI	colonized 	2013	42	6.50E+07
713_5	713	female	no	WT	630_VPI 	630	VPI	colonized 	2013	42	8.40E+07
714_1	714	female	no	WT	630_Mock	630	mock	cleared	2013	42	0.00E+00
714_2	714	female	no	WT	630_Mock	630	mock	cleared	2013	42	0.00E+00
714_3	714	female	no	WT	630_VPI 	630	VPI	cleared	2013	42	0.00E+00
714_4	714	female	no	WT	630_VPI 	630	VPI	cleared	2013	42	0.00E+00
715_1	715	female	no	WT	630_Mock	630	mock	colonized 	2013	42	NA
715_2	715	female	no	WT	630_Mock	630	mock	colonized 	2013	42	2.33E+07
715_3	715	female	no	WT	630_VPI 	630	VPI	colonized 	2013	42	NA
715_4	715	female	no	WT	630_VPI 	630	VPI	colonized 	2013	42	NA
715_5	715	female	no	WT	630_VPI 	630	VPI	colonized 	2013	42	NA
