Mouse 	Cage	Gender	Co_Housed	Genotype	Treatment_Grp	Treatment_1	Treatment_2	Colonization_stat	Experiment 	Weight_g	Day	Treatment
710_1	710	female	no	WT	Naive_Mock	mock	mock	unchallenged  	2013	20.3	41	IP
710_2	710	female	no	WT	Naive_Mock	mock	mock	unchallenged  	2013	22.1	41	IP
710_3	710	female	no	WT	Naive_Mock	mock	mock	unchallenged  	2013	20.7	41	IP
710_4	710	female	no	WT	Naive_VPI	mock	VPI	unchallenged  	2013	21	41	IP
710_5	710	female	no	WT	Naive_VPI	mock	VPI	unchallenged  	2013	20.1	41	IP
711_1	711	female	no	WT	Naive_Mock	mock	mock	unchallenged  	2013	16.3	41	IP
711_2	711	female	no	WT	Naive_VPI	mock	VPI	unchallenged  	2013	19.9	41	IP
711_3	711	female	no	WT	Naive_VPI	mock	VPI	unchallenged  	2013	20.6	41	IP
712_1	712	female	no	WT	630_Mock	630	mock	colonized 	2013	17.4	41	IP
712_2	712	female	no	WT	630_Mock	630	mock	colonized 	2013	19.2	41	IP
712_3	712	female	no	WT	630_VPI 	630	VPI	colonized 	2013	16.8	41	IP
712_4	712	female	no	WT	630_VPI 	630	VPI	colonized 	2013	18.8	41	IP
713_1	713	female	no	WT	630_Mock	630	mock	colonized 	2013	22.4	41	IP
713_2	713	female	no	WT	630_Mock	630	mock	colonized 	2013	20.7	41	IP
713_3	713	female	no	WT	630_Mock	630	mock	colonized 	2013	22.8	41	IP
713_4	713	female	no	WT	630_VPI 	630	VPI	colonized 	2013	20.5	41	IP
713_5	713	female	no	WT	630_VPI 	630	VPI	colonized 	2013	21.6	41	IP
714_1	714	female	no	WT	630_Mock	630	mock	cleared	2013	20.3	41	IP
714_2	714	female	no	WT	630_Mock	630	mock	cleared	2013	18.6	41	IP
714_3	714	female	no	WT	630_VPI 	630	VPI	cleared	2013	18.4	41	IP
714_4	714	female	no	WT	630_VPI 	630	VPI	cleared	2013	19	41	IP
715_1	715	female	no	WT	630_Mock	630	mock	colonized 	2013	16.7	41	IP
715_2	715	female	no	WT	630_Mock	630	mock	colonized 	2013	17.1	41	IP
715_3	715	female	no	WT	630_VPI 	630	VPI	colonized 	2013	16.9	41	IP
715_4	715	female	no	WT	630_VPI 	630	VPI	colonized 	2013	16.6	41	IP
715_5	715	female	no	WT	630_VPI 	630	VPI	colonized 	2013	17.8	41	IP
710_1	710	female	no	WT	Naive_Mock	mock	mock	unchallenged  	2013	21	42	Post_IP
710_2	710	female	no	WT	Naive_Mock	mock	mock	unchallenged  	2013	22.9	42	Post_IP
710_3	710	female	no	WT	Naive_Mock	mock	mock	unchallenged  	2013	21.3	42	Post_IP
710_4	710	female	no	WT	Naive_VPI	mock	VPI	unchallenged  	2013	21.1	42	Post_IP
710_5	710	female	no	WT	Naive_VPI	mock	VPI	unchallenged  	2013	21	42	Post_IP
711_1	711	female	no	WT	Naive_Mock	mock	mock	unchallenged  	2013	16.6	42	Post_IP
711_2	711	female	no	WT	Naive_VPI	mock	VPI	unchallenged  	2013	20.4	42	Post_IP
711_3	711	female	no	WT	Naive_VPI	mock	VPI	unchallenged  	2013	20.7	42	Post_IP
712_1	712	female	no	WT	630_Mock	630	mock	colonized 	2013	17.2	42	Post_IP
712_2	712	female	no	WT	630_Mock	630	mock	colonized 	2013	19.6	42	Post_IP
712_3	712	female	no	WT	630_VPI 	630	VPI	colonized 	2013	17.4	42	Post_IP
712_4	712	female	no	WT	630_VPI 	630	VPI	colonized 	2013	18.9	42	Post_IP
713_1	713	female	no	WT	630_Mock	630	mock	colonized 	2013	22.4	42	Post_IP
713_2	713	female	no	WT	630_Mock	630	mock	colonized 	2013	20.8	42	Post_IP
713_3	713	female	no	WT	630_Mock	630	mock	colonized 	2013	22.2	42	Post_IP
713_4	713	female	no	WT	630_VPI 	630	VPI	colonized 	2013	20.3	42	Post_IP
713_5	713	female	no	WT	630_VPI 	630	VPI	colonized 	2013	21.9	42	Post_IP
714_1	714	female	no	WT	630_Mock	630	mock	cleared	2013	20.6	42	Post_IP
714_2	714	female	no	WT	630_Mock	630	mock	cleared	2013	19.1	42	Post_IP
714_3	714	female	no	WT	630_VPI 	630	VPI	cleared	2013	18.6	42	Post_IP
714_4	714	female	no	WT	630_VPI 	630	VPI	cleared	2013	19.2	42	Post_IP
715_1	715	female	no	WT	630_Mock	630	mock	colonized 	2013	19.5	42	Post_IP
715_2	715	female	no	WT	630_Mock	630	mock	colonized 	2013	20	42	Post_IP
715_3	715	female	no	WT	630_VPI 	630	VPI	colonized 	2013	19.6	42	Post_IP
715_4	715	female	no	WT	630_VPI 	630	VPI	colonized 	2013	19.2	42	Post_IP
715_5	715	female	no	WT	630_VPI 	630	VPI	colonized 	2013	19.8	42	Post_IP
