Mouse	Genotype	Treatment_1	Treatment_2	 Group	Day	Percent_baseline_weight
1139_1	WT	630	VPI	630_VPI	0	1
1139_2	WT	630	VPI	630_VPI	0	1
1139_3	WT	630	VPI	630_VPI	0	1
1139_4	WT	630	VPI	630_VPI	0	1
1139_5	WT	630	VPI	630_VPI	0	1
1136_1	WT	VPI	630	VPI_630	0	1
1136_2	WT	VPI	630	VPI_630	0	1
1136_3	WT	VPI	630	VPI_630	0	1
1136_4	WT	VPI	630	VPI_630	0	1
1136_5	WT	VPI	630	VPI_630	0	1
1138_1	WT	VPI	NA	VPI_only	0	1
1138_2	WT	VPI	NA	VPI_only	0	1
1138_3	WT	VPI	NA	VPI_only	0	1
1138_4	WT	VPI	NA	VPI_only	0	1
1137_1	WT	630	NA	630_only	0	1
1137_2	WT	630	NA	630_only	0	1
1139_1	WT	630	VPI	630_VPI	1	0.95
1139_2	WT	630	VPI	630_VPI	1	0.97
1139_3	WT	630	VPI	630_VPI	1	0.98
1139_4	WT	630	VPI	630_VPI	1	0.90
1139_5	WT	630	VPI	630_VPI	1	0.97
1136_1	WT	VPI	630	VPI_630	1	1.01
1136_2	WT	VPI	630	VPI_630	1	0.98
1136_3	WT	VPI	630	VPI_630	1	0.98
1136_4	WT	VPI	630	VPI_630	1	0.99
1136_5	WT	VPI	630	VPI_630	1	1.00
1138_1	WT	VPI	NA	VPI_only	1	1.02
1138_2	WT	VPI	NA	VPI_only	1	0.99
1138_3	WT	VPI	NA	VPI_only	1	1.03
1138_4	WT	VPI	NA	VPI_only	1	1.02
1137_1	WT	630	NA	630_only	1	1.04
1137_2	WT	630	NA	630_only	1	1.01
1139_1	WT	630	VPI	630_VPI	2	1.01
1139_2	WT	630	VPI	630_VPI	2	1.02
1139_3	WT	630	VPI	630_VPI	2	1.05
1139_4	WT	630	VPI	630_VPI	2	1.05
1139_5	WT	630	VPI	630_VPI	2	0.87
1136_1	WT	VPI	630	VPI_630	2	0.86
1136_2	WT	VPI	630	VPI_630	2	0.83
1136_3	WT	VPI	630	VPI_630	2	0.83
1136_4	WT	VPI	630	VPI_630	2	0.82
1136_5	WT	VPI	630	VPI_630	2	0.82
1138_1	WT	VPI	NA	VPI_only	2	0.88
1138_2	WT	VPI	NA	VPI_only	2	0.83
1138_3	WT	VPI	NA	VPI_only	2	0.94
1138_4	WT	VPI	NA	VPI_only	2	0.84
1137_1	WT	630	NA	630_only	2	1.14
1137_2	WT	630	NA	630_only	2	1.05
1139_1	WT	630	VPI	630_VPI	2.5	0.98
1139_2	WT	630	VPI	630_VPI	2.5	0.96
1139_3	WT	630	VPI	630_VPI	2.5	0.99
1139_4	WT	630	VPI	630_VPI	2.5	0.84
1139_5	WT	630	VPI	630_VPI	2.5	0.97
1136_1	WT	VPI	630	VPI_630	2.5	NA
1136_2	WT	VPI	630	VPI_630	2.5	NA
1136_3	WT	VPI	630	VPI_630	2.5	NA
1136_4	WT	VPI	630	VPI_630	2.5	NA
1136_5	WT	VPI	630	VPI_630	2.5	NA
1138_1	WT	VPI	NA	VPI_only	2.5	NA
1138_2	WT	VPI	NA	VPI_only	2.5	NA
1138_3	WT	VPI	NA	VPI_only	2.5	NA
1138_4	WT	VPI	NA	VPI_only	2.5	NA
1137_1	WT	630	NA	630_only	2.5	NA
1137_2	WT	630	NA	630_only	2.5	NA
1139_1	WT	630	VPI	630_VPI	3	0.96
1139_2	WT	630	VPI	630_VPI	3	0.88
1139_3	WT	630	VPI	630_VPI	3	1.01
1139_4	WT	630	VPI	630_VPI	3	0.82
1139_5	WT	630	VPI	630_VPI	3	0.98
1136_1	WT	VPI	630	VPI_630	3	NA
1136_2	WT	VPI	630	VPI_630	3	NA
1136_3	WT	VPI	630	VPI_630	3	NA
1136_4	WT	VPI	630	VPI_630	3	NA
1136_5	WT	VPI	630	VPI_630	3	NA
1138_1	WT	VPI	NA	VPI_only	3	NA
1138_2	WT	VPI	NA	VPI_only	3	NA
1138_3	WT	VPI	NA	VPI_only	3	NA
1138_4	WT	VPI	NA	VPI_only	3	NA
1137_1	WT	630	NA	630_only	3	1.06
1137_2	WT	630	NA	630_only	3	1.06
