Treatment	Spore+Veg	Spore	UniqueID
D1	305	13	D1.1
D1	246	26	D1.2
D1	245	16	D1.3
D1	347	137	D1.4
D1	568	100	D1.5
D1	244	205	D1.6
D1630	254	126	D1630.1
D1630	249	93	D1630.2
D1630	60	26	D1630.3
D1630	408	234	D1630.4
D1630	318	286	D1630.5
D1630	283	294	D1630.6
D1630	18	24	D1630.7
D1630	19	10	D1630.8
D1630	121	49	D1630.9
D1630Gly	145	6	D1630Gly.1
D1630Gly	175	22	D1630Gly.2
D1630Gly	271	10	D1630Gly.3
D1630Gly	32	19	D1630Gly.4
D1630Gly	67	22	D1630Gly.5
Neg	254	94	N.1
Neg	214	114	N.2
Neg	167	95	N.3
Neg	376	287	N.4
Neg	428	284	N.5
Neg	439	252	N.6
Neg	167	135	N.7
Neg	149	147	N.8
Neg	138	147	N.9
Neg	34	19	N.10
Neg	51	35	N.11
Neg	90	39	N.12
PBS	186	89	PBS.1
PBS	191	115	PBS.2
PBS	181	104	PBS.3
PBS	168	138	PBS.4
PBS	168	92	PBS.5
PBS	137	124	PBS.6
PBS	15	12	PBS.7
PBS	18	10	PBS.8
PBS	21	15	PBS.9
Pos	213	18	P.1
Pos	412	44	P.2
Pos	287	20	P.3
Pos	489	174	P.4
Pos	507	110	P.5
Pos	488	141	P.6
Pos	152	80	P.7
Pos	196	84	P.8
Pos	179	94	P.9
Pos	22	20	P.10
Pos	15	8	P.11
Pos	30	6	P.12
