Mouse	Ratio.VPIto630	Weight_D0	Weight_D2	ClinicalScore_Total	CFU_630	CFU_TOTAL
1382-1	1057	22.3	19.4	10	69000	22300000
1382-2	1057	24.5	20.9	2	310000	209000000
1382-3	1057	24.9	20.6	14	1500	24900000
1382-4	1057	24.7	20.3	14	108000	24700000
1382-5	1057	24.4	19.2	15	55000	24400000
1383-1	74	18.2	15.6	3	16700	18200000
1383-2	74	17	14.8	3	34300	17000000
1383-3	74	16.8	14.3	14	62000	16800000
1383-4	74	20.6	16.9	15	930000	20600000
1383-5	74	18.7	15.7	4	89000	157000000
1384-1	5	24.9	20	6	460000	24900000
1384-2	5	25.7	20.5	6	96000	25700000
1384-3	5	23.8	20.1	9	330000	23800000
1384-4	5	24.8	20	6	102000	24800000
1384-5	5	25.3	20.7	13	1080000	25300000
1405-1	0.01	20.7	21.5	0	10800000	46000000
1405-2	0.01	20.6	20.5	0	4200000	13000000
1405-3	0.01	20.5	21.3	0	9700000	35000000
1405-4	0.01	20.5	21.9	0	25700000	90000000
1405-5	0.01	21	19.8	1	16700000	56000000
1407-1	0.04	23.7	20.5	6	44000000	88000000
1407-2	0.04	21.8	20.4	1	1200000	3000000
1407-3	0.04	23.5	21.4	1	5100000	20000000
1407-4	0.04	21	20.8	0	8100000	15000000
1407-5	0.04	22	19.3	2	39000000	74000000
1408-1	182	21.4	18.2	11	7600000	410000000
1408-2	182	21.9	18.4	10	1500000	76000000
1408-3	182	23	18.8	7	1300000	98000000
1408-4	182	22.6	18.8	9	900000	239000000
1408-5	182	20.7	18	3	3300000	380000000
1400-1	2	28.8	25.5	5	3400000	34000000
1400-2	2	28.5	23.3	7	28000000	270000000
1400-3	2	27.1	22.3	3	21200000	410000000
1400-4	2	29.6	24.8	4	9600000	117000000
1400-5	2	29.2	26.3	2	2700000	54000000
