Mouse 	Cage 	Day	Gender	Co_Housed	Genotype	Treatment_Grp	Treatment_1	Treatment_2	Colonization_stat630	CFU_g	Experiment 
15_1	15	1	male	yes	RAG	Naive_VPI	mock	VPI	unchallenged	100	2014
15_1	15	4	male	yes	RAG	Naive_VPI	mock	VPI	unchallenged	100	2014
15_1	15	7	male	yes	RAG	Naive_VPI	mock	VPI	unchallenged	100	2014
15_1	15	10	male	yes	RAG	Naive_VPI	mock	VPI	unchallenged	100	2014
15_1	15	16	male	yes	RAG	Naive_VPI	mock	VPI	unchallenged	100	2014
15_1	15	22	male	yes	RAG	Naive_VPI	mock	VPI	unchallenged	100	2014
15_1	15	31	male	yes	RAG	Naive_VPI	mock	VPI	unchallenged	100	2014
15_1	15	40	male	yes	RAG	Naive_VPI	mock	VPI	unchallenged	100	2014
15_2	15	1	male	yes	RAG	Naive_VPI	mock	VPI	unchallenged	100	2014
15_3	15	4	male	yes	RAG	Naive_VPI	mock	VPI	unchallenged	100	2014
15_4	15	7	male	yes	RAG	Naive_VPI	mock	VPI	unchallenged	100	2014
15_5	15	10	male	yes	RAG	Naive_VPI	mock	VPI	unchallenged	100	2014
15_6	15	16	male	yes	RAG	Naive_VPI	mock	VPI	unchallenged	100	2014
15_7	15	22	male	yes	RAG	Naive_VPI	mock	VPI	unchallenged	100	2014
15_8	15	31	male	yes	RAG	Naive_VPI	mock	VPI	unchallenged	100	2014
15_9	15	40	male	yes	RAG	Naive_VPI	mock	VPI	unchallenged	100	2014
15_3	15	1	male	yes	RAG	Naive_VPI	mock	VPI	unchallenged	100	2014
15_3	15	4	male	yes	RAG	Naive_VPI	mock	VPI	unchallenged	100	2014
15_3	15	7	male	yes	RAG	Naive_VPI	mock	VPI	unchallenged	100	2014
15_3	15	10	male	yes	RAG	Naive_VPI	mock	VPI	unchallenged	100	2014
15_3	15	16	male	yes	RAG	Naive_VPI	mock	VPI	unchallenged	100	2014
15_3	15	22	male	yes	RAG	Naive_VPI	mock	VPI	unchallenged	100	2014
15_3	15	31	male	yes	RAG	Naive_VPI	mock	VPI	unchallenged	100	2014
15_3	15	40	male	yes	RAG	Naive_VPI	mock	VPI	unchallenged	100	2014
15_4	15	1	male	yes	RAG	Naive_VPI	mock	VPI	unchallenged	100	2014
15_4	15	4	male	yes	RAG	Naive_VPI	mock	VPI	unchallenged	100	2014
15_4	15	7	male	yes	RAG	Naive_VPI	mock	VPI	unchallenged	100	2014
15_4	15	10	male	yes	RAG	Naive_VPI	mock	VPI	unchallenged	100	2014
15_4	15	16	male	yes	RAG	Naive_VPI	mock	VPI	unchallenged	100	2014
15_4	15	22	male	yes	RAG	Naive_VPI	mock	VPI	unchallenged	100	2014
15_4	15	31	male	yes	RAG	Naive_VPI	mock	VPI	unchallenged	100	2014
15_4	15	40	male	yes	RAG	Naive_VPI	mock	VPI	unchallenged	100	2014
17_3	17	1	female	yes	RAG	Naive_VPI	mock	VPI	unchallenged	100	2014
17_3	17	4	female	yes	RAG	Naive_VPI	mock	VPI	unchallenged	100	2014
17_3	17	7	female	yes	RAG	Naive_VPI	mock	VPI	unchallenged	100	2014
17_3	17	10	female	yes	RAG	Naive_VPI	mock	VPI	unchallenged	100	2014
17_3	17	16	female	yes	RAG	Naive_VPI	mock	VPI	unchallenged	100	2014
17_3	17	22	female	yes	RAG	Naive_VPI	mock	VPI	unchallenged	100	2014
17_3	17	31	female	yes	RAG	Naive_VPI	mock	VPI	unchallenged	100	2014
17_3	17	40	female	yes	RAG	Naive_VPI	mock	VPI	unchallenged	100	2014
17_4	17	1	female	yes	RAG	Naive_VPI	mock	VPI	unchallenged	100	2014
17_4	17	4	female	yes	RAG	Naive_VPI	mock	VPI	unchallenged	100	2014
17_4	17	7	female	yes	RAG	Naive_VPI	mock	VPI	unchallenged	100	2014
17_4	17	10	female	yes	RAG	Naive_VPI	mock	VPI	unchallenged	100	2014
17_4	17	16	female	yes	RAG	Naive_VPI	mock	VPI	unchallenged	100	2014
17_4	17	22	female	yes	RAG	Naive_VPI	mock	VPI	unchallenged	100	2014
17_4	17	31	female	yes	RAG	Naive_VPI	mock	VPI	unchallenged	100	2014
17_4	17	40	female	yes	RAG	Naive_VPI	mock	VPI	unchallenged	100	2014
996_1	996	1	female	yes	RAG	Naive_VPI	mock	VPI	unchallenged	100	2014
996_1	996	4	female	yes	RAG	Naive_VPI	mock	VPI	unchallenged	100	2014
996_1	996	7	female	yes	RAG	Naive_VPI	mock	VPI	unchallenged	100	2014
996_1	996	10	female	yes	RAG	Naive_VPI	mock	VPI	unchallenged	100	2014
996_1	996	16	female	yes	RAG	Naive_VPI	mock	VPI	unchallenged	100	2014
996_1	996	22	female	yes	RAG	Naive_VPI	mock	VPI	unchallenged	100	2014
996_1	996	31	female	yes	RAG	Naive_VPI	mock	VPI	unchallenged	100	2014
996_1	996	40	female	yes	RAG	Naive_VPI	mock	VPI	unchallenged	100	2014
996_2	996	1	female	yes	WT	Naive_VPI	mock	VPI	unchallenged	100	2014
996_2	996	4	female	yes	WT	Naive_VPI	mock	VPI	unchallenged	100	2014
996_2	996	7	female	yes	WT	Naive_VPI	mock	VPI	unchallenged	100	2014
996_2	996	10	female	yes	WT	Naive_VPI	mock	VPI	unchallenged	100	2014
996_2	996	16	female	yes	WT	Naive_VPI	mock	VPI	unchallenged	100	2014
996_2	996	22	female	yes	WT	Naive_VPI	mock	VPI	unchallenged	100	2014
996_2	996	31	female	yes	WT	Naive_VPI	mock	VPI	unchallenged	100	2014
996_2	996	40	female	yes	WT	Naive_VPI	mock	VPI	unchallenged	100	2014
974_3	974	1	female	no	WT	Naive_VPI	mock	VPI	unchallenged	100	2014
974_3	974	4	female	no	WT	Naive_VPI	mock	VPI	unchallenged	100	2014
974_3	974	7	female	no	WT	Naive_VPI	mock	VPI	unchallenged	100	2014
974_3	974	10	female	no	WT	Naive_VPI	mock	VPI	unchallenged	100	2014
974_3	974	16	female	no	WT	Naive_VPI	mock	VPI	unchallenged	100	2014
974_3	974	22	female	no	WT	Naive_VPI	mock	VPI	unchallenged	100	2014
974_3	974	31	female	no	WT	Naive_VPI	mock	VPI	unchallenged	100	2014
974_3	974	40	female	no	WT	Naive_VPI	mock	VPI	unchallenged	100	2014
974_4	974	1	female	no	WT	Naive_VPI	mock	VPI	unchallenged	100	2014
974_4	974	4	female	no	WT	Naive_VPI	mock	VPI	unchallenged	100	2014
974_4	974	7	female	no	WT	Naive_VPI	mock	VPI	unchallenged	100	2014
974_4	974	10	female	no	WT	Naive_VPI	mock	VPI	unchallenged	100	2014
974_4	974	16	female	no	WT	Naive_VPI	mock	VPI	unchallenged	100	2014
974_4	974	22	female	no	WT	Naive_VPI	mock	VPI	unchallenged	100	2014
974_4	974	31	female	no	WT	Naive_VPI	mock	VPI	unchallenged	100	2014
974_4	974	40	female	no	WT	Naive_VPI	mock	VPI	unchallenged	100	2014
979_1	979	1	male	no	WT	Naive_VPI	mock	VPI	unchallenged	100	2014
979_1	979	4	male	no	WT	Naive_VPI	mock	VPI	unchallenged	100	2014
979_1	979	7	male	no	WT	Naive_VPI	mock	VPI	unchallenged	100	2014
979_1	979	10	male	no	WT	Naive_VPI	mock	VPI	unchallenged	100	2014
979_1	979	16	male	no	WT	Naive_VPI	mock	VPI	unchallenged	100	2014
979_1	979	22	male	no	WT	Naive_VPI	mock	VPI	unchallenged	100	2014
979_1	979	31	male	no	WT	Naive_VPI	mock	VPI	unchallenged	100	2014
979_1	979	40	male	no	WT	Naive_VPI	mock	VPI	unchallenged	100	2014
979_2	979	1	male	no	WT	Naive_VPI	mock	VPI	unchallenged	100	2014
979_2	979	4	male	no	WT	Naive_VPI	mock	VPI	unchallenged	100	2014
979_2	979	7	male	no	WT	Naive_VPI	mock	VPI	unchallenged	100	2014
979_2	979	10	male	no	WT	Naive_VPI	mock	VPI	unchallenged	100	2014
979_2	979	16	male	no	WT	Naive_VPI	mock	VPI	unchallenged	100	2014
979_2	979	22	male	no	WT	Naive_VPI	mock	VPI	unchallenged	100	2014
979_2	979	31	male	no	WT	Naive_VPI	mock	VPI	unchallenged	100	2014
979_2	979	40	male	no	WT	Naive_VPI	mock	VPI	unchallenged	100	2014
979_3	979	1	male	no	WT	Naive_VPI	mock	VPI	unchallenged	100	2014
979_3	979	4	male	no	WT	Naive_VPI	mock	VPI	unchallenged	100	2014
979_3	979	7	male	no	WT	Naive_VPI	mock	VPI	unchallenged	100	2014
979_3	979	10	male	no	WT	Naive_VPI	mock	VPI	unchallenged	100	2014
979_3	979	16	male	no	WT	Naive_VPI	mock	VPI	unchallenged	100	2014
979_3	979	22	male	no	WT	Naive_VPI	mock	VPI	unchallenged	100	2014
979_3	979	31	male	no	WT	Naive_VPI	mock	VPI	unchallenged	100	2014
979_3	979	40	male	no	WT	Naive_VPI	mock	VPI	unchallenged	100	2014
979_4	979	1	male	no	WT	Naive_VPI	mock	VPI	unchallenged	100	2014
979_4	979	4	male	no	WT	Naive_VPI	mock	VPI	unchallenged	100	2014
979_4	979	7	male	no	WT	Naive_VPI	mock	VPI	unchallenged	100	2014
979_4	979	10	male	no	WT	Naive_VPI	mock	VPI	unchallenged	100	2014
979_4	979	16	male	no	WT	Naive_VPI	mock	VPI	unchallenged	100	2014
979_4	979	22	male	no	WT	Naive_VPI	mock	VPI	unchallenged	100	2014
979_4	979	31	male	no	WT	Naive_VPI	mock	VPI	unchallenged	100	2014
979_4	979	40	male	no	WT	Naive_VPI	mock	VPI	unchallenged	100	2014
978_1	978	1	male	yes	WT	630_VPI 	630	VPI	cleared 	20000000	2014
978_1	978	4	male	yes	WT	630_VPI 	630	VPI	cleared 	4700000	2014
978_1	978	7	male	yes	WT	630_VPI 	630	VPI	cleared 	1000	2014
978_1	978	10	male	yes	WT	630_VPI 	630	VPI	cleared 	100	2014
978_1	978	16	male	yes	WT	630_VPI 	630	VPI	cleared 	100	2014
978_1	978	22	male	yes	WT	630_VPI 	630	VPI	cleared 	100	2014
978_1	978	31	male	yes	WT	630_VPI 	630	VPI	cleared 	100	2014
978_1	978	40	male	yes	WT	630_VPI 	630	VPI	cleared 	100	2014
978_2	978	1	male	yes	WT	630_VPI 	630	VPI	cleared 	11100000	2014
978_2	978	4	male	yes	WT	630_VPI 	630	VPI	cleared 	21000000	2014
978_2	978	7	male	yes	WT	630_VPI 	630	VPI	cleared 	1000	2014
978_2	978	10	male	yes	WT	630_VPI 	630	VPI	cleared 	100	2014
978_2	978	16	male	yes	WT	630_VPI 	630	VPI	cleared 	100	2014
978_2	978	22	male	yes	WT	630_VPI 	630	VPI	cleared 	100	2014
978_2	978	31	male	yes	WT	630_VPI 	630	VPI	cleared 	100	2014
978_2	978	40	male	yes	WT	630_VPI 	630	VPI	cleared 	100	2014
978_3	978	1	male	yes	WT	630_VPI 	630	VPI	cleared 	10000	2014
978_3	978	4	male	yes	WT	630_VPI 	630	VPI	cleared 	79000	2014
978_3	978	7	male	yes	WT	630_VPI 	630	VPI	cleared 	1000	2014
978_3	978	10	male	yes	WT	630_VPI 	630	VPI	cleared 	100	2014
