Sample	Date	Experiment_Part	Strain_Growing	Media_Type	Time 	Part2_Group	CFU_mL
630_2	Dec092015	1	630	D0_CM	0	NA	29000
630_5	Dec092015	1	630	D0_CM	0	NA	20000
630_6	Dec092015	1	630	D0_CM	0	NA	16000
630_7	Dec092015	1	630	D0_CM	0	NA	30000
630_8	Dec092015	1	630	D0_CM	0	NA	6000
630_9	Dec092015	1	630	D0_CM	0	NA	2100
VPI_1	Dec092015	1	VPI	D0_CM	0	NA	36000
VPI_2	Dec092015	1	VPI	D0_CM	0	NA	7100
VPI_3	Dec092015	1	VPI	D0_CM	0	NA	1900
VPI_4	Dec092015	1	VPI	D0_CM	0	NA	35000
Blank_1	Dec092015	1	Mock	D0_CM	0	NA	0
Blank_2	Dec092015	1	Mock	D0_CM	0	NA	0
Blank_3	Dec092015	1	Mock	D0_CM	0	NA	0
Blank_4	Dec092015	1	Mock	D0_CM	0	NA	0
630_2	Dec092015	1	630	D0_CM	24	NA	99000000
630_5	Dec092015	1	630	D0_CM	24	NA	80000000
630_6	Dec092015	1	630	D0_CM	24	NA	98000000
630_7	Dec092015	1	630	D0_CM	24	NA	73000000
630_8	Dec092015	1	630	D0_CM	24	NA	77000000
630_9	Dec092015	1	630	D0_CM	24	NA	194000000
VPI_1	Dec092015	1	VPI	D0_CM	24	NA	2000000
VPI_2	Dec092015	1	VPI	D0_CM	24	NA	2200000
VPI_3	Dec092015	1	VPI	D0_CM	24	NA	4000000
VPI_4	Dec092015	1	VPI	D0_CM	24	NA	4100000
Blank_1	Dec092015	1	Mock	D0_CM	24	NA	0
Blank_2	Dec092015	1	Mock	D0_CM	24	NA	0
Blank_3	Dec092015	1	Mock	D0_CM	24	NA	0
Blank_4	Dec092015	1	Mock	D0_CM	24	NA	0
630_7	Dec092015	2	VPI	D0_CM	0	630	2600
630_8	Dec092015	2	VPI	D0_CM	0	630	2000
630_9	Dec092015	2	VPI	D0_CM	0	630	17600
VPI_1	Dec092015	2	VPI	D0_CM	0	VPI	2800
VPI_2	Dec092015	2	VPI	D0_CM	0	VPI	7400
VPI_3	Dec092015	2	VPI	D0_CM	0	VPI	2200
VPI_4	Dec092015	2	VPI	D0_CM	0	VPI	2600
Blank_1	Dec092015	2	VPI	D0_CM	0	Blank	7600
Blank_2	Dec092015	2	VPI	D0_CM	0	Blank	38400
Blank_3	Dec092015	2	VPI	D0_CM	0	Blank	4000
Blank_4	Dec092015	2	VPI	D0_CM	0	Blank	33000
630_7	Dec092015	2	VPI	D0_CM	6	630	1750000
630_8	Dec092015	2	VPI	D0_CM	6	630	950000
630_9	Dec092015	2	VPI	D0_CM	6	630	2240000
VPI_1	Dec092015	2	VPI	D0_CM	6	VPI	930000
VPI_2	Dec092015	2	VPI	D0_CM	6	VPI	1330000
VPI_3	Dec092015	2	VPI	D0_CM	6	VPI	1170000
VPI_4	Dec092015	2	VPI	D0_CM	6	VPI	1340000
Blank_1	Dec092015	2	VPI	D0_CM	6	Blank	3120000
Blank_2	Dec092015	2	VPI	D0_CM	6	Blank	3250000
Blank_3	Dec092015	2	VPI	D0_CM	6	Blank	3460000
Blank_4	Dec092015	2	VPI	D0_CM	6	Blank	2060000
630_7	Dec092015	2	VPI	D0_CM	24	630	23000000
630_8	Dec092015	2	VPI	D0_CM	24	630	1600000
630_9	Dec092015	2	VPI	D0_CM	24	630	13000000
VPI_1	Dec092015	2	VPI	D0_CM	24	VPI	11000000
VPI_2	Dec092015	2	VPI	D0_CM	24	VPI	1290000
VPI_3	Dec092015	2	VPI	D0_CM	24	VPI	1490000
VPI_4	Dec092015	2	VPI	D0_CM	24	VPI	3810000
Blank_1	Dec092015	2	VPI	D0_CM	24	Blank	15000000
Blank_2	Dec092015	2	VPI	D0_CM	24	Blank	17000000
Blank_3	Dec092015	2	VPI	D0_CM	24	Blank	30000000
Blank_4	Dec092015	2	VPI	D0_CM	24	Blank	28000000
630CM_A	Jan292016	2	VPI	D1630_CM	0	630CM	16000
630CM_B	Jan292016	2	VPI	D1630_CM	0	630CM	23000
630CM_C	Jan292016	2	VPI	D1630_CM	0	630CM	35000
630CM_D	Jan292016	2	VPI	D1630_CM	0	630CM	32000
BHI_A	Jan292016	2	VPI	D1630_CM	0	BHI	19000
BHI_B	Jan292016	2	VPI	D1630_CM	0	BHI	32000
PBS_A	Jan292016	2	VPI	D1630_CM	0	PBS	17000
PBS_B	Jan292016	2	VPI	D1630_CM	0	PBS	36000
PBS_C	Jan292016	2	VPI	D1630_CM	0	PBS	13000
PBS_D	Jan292016	2	VPI	D1630_CM	0	PBS	24000
630CM_A	Jan292016	2	VPI	D1630_CM	24	630CM	1170000
630CM_B	Jan292016	2	VPI	D1630_CM	24	630CM	57000000
630CM_C	Jan292016	2	VPI	D1630_CM	24	630CM	58000000
630CM_D	Jan292016	2	VPI	D1630_CM	24	630CM	1540000
BHI_A	Jan292016	2	VPI	D1630_CM	24	BHI	294000000
BHI_B	Jan292016	2	VPI	D1630_CM	24	BHI	192000000
PBS_A	Jan292016	2	VPI	D1630_CM	24	PBS	0
PBS_B	Jan292016	2	VPI	D1630_CM	24	PBS	0
PBS_C	Jan292016	2	VPI	D1630_CM	24	PBS	0
PBS_D	Jan292016	2	VPI	D1630_CM	24	PBS	0
630_10	Aug052016	1	630	D0_CM	0	NA	16000
630_11	Aug052016	1	630	D0_CM	0	NA	20000
630_12	Aug052016	1	630	D0_CM	0	NA	16000
630_13	Aug052016	1	630	D0_CM	0	NA	6000
VPI_5	Aug052016	1	VPI	D0_CM	0	NA	33000
VPI_6	Aug052016	1	VPI	D0_CM	0	NA	20000
VPI_7	Aug052016	1	VPI	D0_CM	0	NA	16000
VPI_8	Aug052016	1	VPI	D0_CM	0	NA	22000
VPI_9	Aug052016	1	VPI	D0_CM	0	NA	27000
Blank_5	Aug052016	1	Mock	D0_CM	0	NA	0
Blank_6	Aug052016	1	Mock	D0_CM	0	NA	0
Blank_7	Aug052016	1	Mock	D0_CM	0	NA	0
630_10	Aug052016	1	630	D0_CM	24	NA	2700000
630_11	Aug052016	1	630	D0_CM	24	NA	2300000
630_12	Aug052016	1	630	D0_CM	24	NA	3000000
630_13	Aug052016	1	630	D0_CM	24	NA	500000
VPI_5	Aug052016	1	VPI	D0_CM	24	NA	500000
VPI_6	Aug052016	1	VPI	D0_CM	24	NA	1100000
VPI_7	Aug052016	1	VPI	D0_CM	24	NA	300000
VPI_8	Aug052016	1	VPI	D0_CM	24	NA	1200000
VPI_9	Aug052016	1	VPI	D0_CM	24	NA	500000
Blank_5	Aug052016	1	Mock	D0_CM	24	NA	0
Blank_6	Aug052016	1	Mock	D0_CM	24	NA	0
Blank_7	Aug052016	1	Mock	D0_CM	24	NA	0
630_10	Aug052016	2	VPI	D0_CM	0	630	21500
630_11	Aug052016	2	VPI	D0_CM	0	630	1100
630_12	Aug052016	2	VPI	D0_CM	0	630	2900
630_13	Aug052016	2	VPI	D0_CM	0	630	3700
VPI_5	Aug052016	2	VPI	D0_CM	0	VPI	1500
VPI_6	Aug052016	2	VPI	D0_CM	0	VPI	1200
VPI_7	Aug052016	2	VPI	D0_CM	0	VPI	800
VPI_8	Aug052016	2	VPI	D0_CM	0	VPI	2000
VPI_9	Aug052016	2	VPI	D0_CM	0	VPI	3900
Blank_5	Aug052016	2	VPI	D0_CM	0	Blank	2000
Blank_6	Aug052016	2	VPI	D0_CM	0	Blank	7000
Blank_7	Aug052016	2	VPI	D0_CM	0	Blank	700
630_10	Aug052016	2	VPI	D0_CM	6	630	0
630_11	Aug052016	2	VPI	D0_CM	6	630	180000
630_12	Aug052016	2	VPI	D0_CM	6	630	200000
630_13	Aug052016	2	VPI	D0_CM	6	630	150000
VPI_5	Aug052016	2	VPI	D0_CM	6	VPI	90000
VPI_6	Aug052016	2	VPI	D0_CM	6	VPI	70000
VPI_7	Aug052016	2	VPI	D0_CM	6	VPI	90000
VPI_8	Aug052016	2	VPI	D0_CM	6	VPI	180000
VPI_9	Aug052016	2	VPI	D0_CM	6	VPI	8200
Blank_5	Aug052016	2	VPI	D0_CM	6	Blank	50000
Blank_6	Aug052016	2	VPI	D0_CM	6	Blank	40000
Blank_7	Aug052016	2	VPI	D0_CM	6	Blank	120000
630_10	Aug052016	2	VPI	D0_CM	24	630	0
630_11	Aug052016	2	VPI	D0_CM	24	630	0
630_12	Aug052016	2	VPI	D0_CM	24	630	8400
630_13	Aug052016	2	VPI	D0_CM	24	630	0
VPI_5	Aug052016	2	VPI	D0_CM	24	VPI	4200000
VPI_6	Aug052016	2	VPI	D0_CM	24	VPI	21000000
VPI_7	Aug052016	2	VPI	D0_CM	24	VPI	10400
VPI_8	Aug052016	2	VPI	D0_CM	24	VPI	14500
VPI_9	Aug052016	2	VPI	D0_CM	24	VPI	300
Blank_5	Aug052016	2	VPI	D0_CM	24	Blank	17200
Blank_6	Aug052016	2	VPI	D0_CM	24	Blank	2400
Blank_7	Aug052016	2	VPI	D0_CM	24	Blank	8400
