Mouse	Treatment_1	Treatment_2	Group	D1	D2_Harvest	Percent_baseline_weight	Clinical_Score	CFU_equvalents	TCCFA	TCCFA_E
3040	630	nothing	630	25	21.4	85.6	3	0	63000000	60000000
3093	630	nothing	630	23.7	20.7	87.34	3	0	154000000	171000000
3095	630	nothing	630	23.5	20.3	86.38	3	0	89000000	142000000
3080	630	nothing	630	18	15.3	85	3	0	72000000	77000000
3088	nothing	VPI	VPI	24.5	20.4	83.27	9	8.502634264	109000000	0
3094	nothing	VPI	VPI	24	19.5	81.25	13	7.304200246	340000000	0
3078	nothing	VPI	VPI	23.7	19	80.17	10	7.72901439	98000000	0
3096	nothing	VPI	VPI	24	21.8	90.83	1	7.511401262	305000000	0
1188	630	VPI	630_VPI	21.7	20.1	92.63	2	0	54000000	45000000
1195	630	VPI	630_VPI	23	20.3	88.26	2	0	42000000	64000000
1200	630	VPI	630_VPI	21	18.3	87.14	6	0	63000000	97000000
1190	630	VPI	630_VPI	20.6	17.9	86.89	3	0	14000000	27000000
1	630	VPI	630_VPI	28	24	85.71	5	0	55000000	43000000
2	630	VPI	630_VPI	33.3	26.6	79.88	4	0	299000000	313000000
