Mouse 	Cage 	Gender	Co_Housed	Genotype	Treatment_Grp	Treatment_1	Treatment_2	Colonization_stat630	NeutralizingTiter_A	NeutralizingTiter_B	Avg_NeutralizingTiter	Toxin	Experiment 
712_1	712	female	no	WT	630_Mock	630	mock	colonized 	640	640	640	A	2013
712_2	712	female	no	WT	630_Mock	630	mock	colonized 	160	160	160	A	2013
712_3	712	female	no	WT	630_VPI 	630	VPI	colonized 	640	640	640	A	2013
712_4	712	female	no	WT	630_VPI 	630	VPI	colonized 	640	640	640	A	2013
713_1	713	female	no	WT	630_Mock	630	mock	colonized 	1280	1280	1280	A	2013
713_2	713	female	no	WT	630_Mock	630	mock	colonized 	640	320	480	A	2013
713_3	713	female	no	WT	630_Mock	630	mock	colonized 	640	640	640	A	2013
713_4	713	female	no	WT	630_VPI 	630	VPI	colonized 	640	640	640	A	2013
713_5	713	female	no	WT	630_VPI 	630	VPI	colonized 	640	640	640	A	2013
714_1	714	female	no	WT	630_Mock	630	mock	cleared	80	80	80	A	2013
714_2	714	female	no	WT	630_Mock	630	mock	cleared	80	80	80	A	2013
714_3	714	female	no	WT	630_VPI 	630	VPI	cleared	80	80	80	A	2013
714_4	714	female	no	WT	630_VPI 	630	VPI	cleared	80	80	80	A	2013
715_1	715	female	no	WT	630_Mock	630	mock	colonized 	320	320	320	A	2013
715_2	715	female	no	WT	630_Mock	630	mock	colonized 	320	320	320	A	2013
715_3	715	female	no	WT	630_VPI 	630	VPI	colonized 	320	160	240	A	2013
715_4	715	female	no	WT	630_VPI 	630	VPI	colonized 	320	320	320	A	2013
715_5	715	female	no	WT	630_VPI 	630	VPI	colonized 	640	640	640	A	2013
712_1	712	female	no	WT	630_Mock	630	mock	colonized 	80	80	80	B	2013
712_2	712	female	no	WT	630_Mock	630	mock	colonized 	80	80	80	B	2013
712_3	712	female	no	WT	630_VPI 	630	VPI	colonized 	80	80	80	B	2013
712_4	712	female	no	WT	630_VPI 	630	VPI	colonized 	80	80	80	B	2013
713_1	713	female	no	WT	630_Mock	630	mock	colonized 	80	80	80	B	2013
713_2	713	female	no	WT	630_Mock	630	mock	colonized 	80	80	80	B	2013
713_3	713	female	no	WT	630_Mock	630	mock	colonized 	80	80	80	B	2013
713_4	713	female	no	WT	630_VPI 	630	VPI	colonized 	80	80	80	B	2013
713_5	713	female	no	WT	630_VPI 	630	VPI	colonized 	80	80	80	B	2013
714_1	714	female	no	WT	630_Mock	630	mock	cleared	80	80	80	B	2013
714_2	714	female	no	WT	630_Mock	630	mock	cleared	80	80	80	B	2013
714_3	714	female	no	WT	630_VPI 	630	VPI	cleared	80	80	80	B	2013
714_4	714	female	no	WT	630_VPI 	630	VPI	cleared	80	80	80	B	2013
715_1	715	female	no	WT	630_Mock	630	mock	colonized 	80	80	80	B	2013
715_2	715	female	no	WT	630_Mock	630	mock	colonized 	80	80	80	B	2013
715_3	715	female	no	WT	630_VPI 	630	VPI	colonized 	80	80	80	B	2013
715_4	715	female	no	WT	630_VPI 	630	VPI	colonized 	80	80	80	B	2013
715_5	715	female	no	WT	630_VPI 	630	VPI	colonized 	80	80	80	B	2013
