Mouse 	Treatment	Genotype	Clin_Score	Weight_D1	Weight_D3	Percent_weightD0
1370-1	630	WT	2	21.4	20.1	93.92523364
1370-2	630	WT	1	22.5	21.6	96
1370-3	630	WT	0	19.6	19.8	101.0204082
1370-4	630	WT	0	19.4	19.9	102.5773196
1370-5	630	WT	0	19.8	20.3	102.5252525
1371-1	HK630	WT	13	24.6	20.1	81.70731707
1371-2	HK630	WT	13	24.9	20.2	81.12449799
1371-3	HK630	WT	14	24.8	20.6	83.06451613
1371-4	HK630	WT	10	26.3	21.7	82.5095057
1372-1	HK630	WT	14	19.7	17.1	86.80203046
1372-2	HK630	WT	14	17.6	15.2	86.36363636
1373-1	Mock	WT	9	21.1	18.7	88.62559242
1373-2	Mock	WT	5	24.2	20.4	84.29752066
1373-3	Mock	WT	6	22.3	19	85.20179372
1373-4	Mock	WT	7	24.6	20.3	82.5203252
347-1	HK630	RAG	8	22.6	18.9	83.62831858
347-2	HK630	RAG	13	24.8	20.3	81.85483871
347-3	HK630	RAG	8	25.1	20	79.6812749
347-4	HK630	RAG	10	22.7	18.9	83.25991189
347-5	HK630	RAG	8	24.9	20.6	82.73092369
348-1	630	RAG	0	19.5	19.6	100.5128205
348-2	630	RAG	0	19.3	19.2	99.48186528
348-3	630	RAG	0	16	16.9	105.625
348-4	630	RAG	0	18.4	19.1	103.8043478
349-1	Mock	RAG	2	18	15.4	85.55555556
349-2	Mock	RAG	7	18.6	15.8	84.94623656
349-3	Mock	RAG	6	19.4	16.7	86.08247423
350-1	Mock	RAG	8	24.3	20.2	83.12757202
350-2	Mock	RAG	9	25.8	20.9	81.00775194
350-3	Mock	RAG	6	23.4	19.8	84.61538462
