Mouse 	Cage	Gender	Co_Housed	Genotype	Treatment_Grp	Treatment_1	Treatment_2	Colonization_stat630	Toxin_Activity	Experiment 
15_1	15	male	yes	RAG	Naive_VPI	mock	VPI	unchallenged 	4.3	2014
15_2	15	male	yes	RAG	Naive_VPI	mock	VPI	unchallenged 	4.3	2014
15_3	15	male	yes	RAG	Naive_VPI	mock	VPI	unchallenged 	4.3	2014
15_4	15	male	yes	RAG	Naive_VPI	mock	VPI	unchallenged 	5.3	2014
17_3	17	female	yes	RAG	Naive_VPI	mock	VPI	unchallenged 	4.3	2014
17_4	17	female	yes	RAG	Naive_VPI	mock	VPI	unchallenged 	0	2014
996_1	996	female	yes	WT	Naive_VPI	mock	VPI	unchallenged 	5.3	2014
996_2	996	female	yes	WT	Naive_VPI	mock	VPI	unchallenged 	5.3	2014
974_3	974	female	no	WT	Naive_VPI	mock	VPI	unchallenged 	6.3	2014
974_4	974	female	no	WT	Naive_VPI	mock	VPI	unchallenged 	5.3	2014
979_1	979	male	no	WT	Naive_VPI	mock	VPI	unchallenged 	4.3	2014
979_2	979	male	no	WT	Naive_VPI	mock	VPI	unchallenged 	4.3	2014
979_3	979	male	no	WT	Naive_VPI	mock	VPI	unchallenged 	4.3	2014
979_4	979	male	no	WT	Naive_VPI	mock	VPI	unchallenged 	4.3	2014
978_1	978	male	yes	WT	630_VPI 	630	VPI	cleared	4.3	2014
978_2	978	male	yes	WT	630_VPI 	630	VPI	cleared	4.3	2014
978_3	978	male	yes	WT	630_VPI 	630	VPI	cleared	5.04	2014
978_4	978	male	yes	WT	630_VPI 	630	VPI	cleared	4.3	2014
978_5	978	male	yes	WT	630_VPI 	630	VPI	cleared	4.3	2014
16_1	16	male	yes	RAG	630_VPI 	630	VPI	cleared	4.43	2014
16_2	16	male	yes	RAG	630_VPI 	630	VPI	cleared	5.5	2014
16_3	16	male	yes	RAG	630_VPI 	630	VPI	cleared	3.08	2014
16_4	16	male	yes	RAG	630_VPI 	630	VPI	cleared	5.04	2014
18_2	18	female	yes	RAG	630_VPI 	630	VPI	colonized	3.3	2014
18_3	18	female	yes	RAG	630_VPI 	630	VPI	colonized	4.3	2014
18_4	18	female	yes	RAG	630_VPI 	630	VPI	colonized	4.04	2014
18_5	18	female	yes	RAG	630_VPI 	630	VPI	colonized	3.3	2014
977_1	977	female	yes	WT	630_VPI 	630	VPI	colonized	4.3	2014
977_2	977	female	yes	WT	630_VPI 	630	VPI	colonized	4.3	2014
977_3	977	female	yes	WT	630_VPI 	630	VPI	colonized	4.3	2014
977_4	977	female	yes	WT	630_VPI 	630	VPI	colonized	4.3	2014
710_1	710	female	no	WT	Naive_Mock	mock	mock	unchallenged 	0	2013
710_2	710	female	no	WT	Naive_Mock	mock	mock	unchallenged 	0	2013
710_3	710	female	no	WT	Naive_Mock	mock	mock	unchallenged 	0	2013
710_4	710	female	no	WT	Naive_VPI	mock	VPI	unchallenged 	5.3	2013
710_5	710	female	no	WT	Naive_VPI	mock	VPI	unchallenged 	5.3	2013
711_1	711	female	no	WT	Naive_Mock	mock	mock	unchallenged 	0	2013
711_2	711	female	no	WT	Naive_VPI	mock	VPI	unchallenged 	4.3	2013
711_3	711	female	no	WT	Naive_VPI	mock	VPI	unchallenged 	4.04	2013
712_1	712	female	no	WT	630_Mock	630	mock	colonized	4.3	2013
712_2	712	female	no	WT	630_Mock	630	mock	colonized	3.3	2013
712_3	712	female	no	WT	630_VPI 	630	VPI	colonized	4.04	2013
712_4	712	female	no	WT	630_VPI 	630	VPI	colonized	3.3	2013
713_1	713	female	no	WT	630_Mock	630	mock	colonized	3.3	2013
713_2	713	female	no	WT	630_Mock	630	mock	colonized	3.3	2013
713_3	713	female	no	WT	630_Mock	630	mock	colonized	4.04	2013
713_4	713	female	no	WT	630_VPI 	630	VPI	colonized	4.04	2013
