Mouse	Treatment	Day_Post_Primary_Infection	Clinical_Score
2155-1	630spores_VPIveg	1	0
2155-2	630spores_VPIveg	1	0
2155-3	630spores_VPIveg	1	0
2155-4	630spores_VPIveg	1	0
2155-5	630spores_VPIveg	1	0
2156-1	630spores_VPIveg	1	0
2156-2	630spores_VPIveg	1	0
2159-1	630spores_VPIspores	1	1
2159-2	630spores_VPIspores	1	0
2154-1	630spores_VPIspores	1	0
2154-2	630spores_VPIspores	1	0
2154-3	630spores_VPIspores	1	1
2154-4	630spores_VPIspores	1	0
2159-3	mock_VPIveg	1	0
2159-4	mock_VPIveg	1	0
2159-5	mock_VPIveg	1	0
2156-3	mock_VPIveg	1	0
2156-4	mock_VPIveg	1	0
2156-5	mock_VPIveg	1	0
2155-1	630spores_VPIveg	2	1
2155-2	630spores_VPIveg	2	1
2155-3	630spores_VPIveg	2	1
2155-4	630spores_VPIveg	2	1
2155-5	630spores_VPIveg	2	1
2156-1	630spores_VPIveg	2	0
2156-2	630spores_VPIveg	2	0
2159-1	630spores_VPIspores	2	1
2159-2	630spores_VPIspores	2	1
2154-1	630spores_VPIspores	2	0
2154-2	630spores_VPIspores	2	0
2154-3	630spores_VPIspores	2	0
2154-4	630spores_VPIspores	2	0
2159-3	mock_VPIveg	2	1
2159-4	mock_VPIveg	2	1
2159-5	mock_VPIveg	2	1
2156-3	mock_VPIveg	2	1
2156-4	mock_VPIveg	2	2
2156-5	mock_VPIveg	2	1
2155-1	630spores_VPIveg	3	3
2155-2	630spores_VPIveg	3	3
2155-3	630spores_VPIveg	3	2
2155-4	630spores_VPIveg	3	3
2155-5	630spores_VPIveg	3	3
2156-1	630spores_VPIveg	3	1
2156-2	630spores_VPIveg	3	2
2159-1	630spores_VPIspores	3	1
2159-2	630spores_VPIspores	3	2
2154-1	630spores_VPIspores	3	1
2154-2	630spores_VPIspores	3	2
2154-3	630spores_VPIspores	3	1
2154-4	630spores_VPIspores	3	1
2159-3	mock_VPIveg	3	8
2159-4	mock_VPIveg	3	10
2159-5	mock_VPIveg	3	9
2156-3	mock_VPIveg	3	1
2156-4	mock_VPIveg	3	0
2156-5	mock_VPIveg	3	0
2155-1	630spores_VPIveg	4	2
2155-2	630spores_VPIveg	4	2
2155-3	630spores_VPIveg	4	1
2155-4	630spores_VPIveg	4	2
2155-5	630spores_VPIveg	4	2
2156-1	630spores_VPIveg	4	2
2156-2	630spores_VPIveg	4	2
2159-1	630spores_VPIspores	4	2
2159-2	630spores_VPIspores	4	2
2154-1	630spores_VPIspores	4	1
2154-2	630spores_VPIspores	4	1
2154-3	630spores_VPIspores	4	1
2154-4	630spores_VPIspores	4	2
2159-3	mock_VPIveg	4	5
2159-4	mock_VPIveg	4	NA
2159-5	mock_VPIveg	4	9
2156-3	mock_VPIveg	4	0
2156-4	mock_VPIveg	4	0
2156-5	mock_VPIveg	4	0
