Mouse 	Cage	Gender	Co_Housed	Genotype	Treatment_Grp	Treatment_1	Treatment_2	Colonization_stat	Day	Percent_weightD0	Experiment
710_1	710	female	no	WT	Naive_Mock	mock	mock	uncolonized 	0	100.00	2013
710_1	710	female	no	WT	Naive_Mock	mock	mock	uncolonized 	1	97.86	2013
710_1	710	female	no	WT	Naive_Mock	mock	mock	uncolonized 	2	97.86	2013
710_1	710	female	no	WT	Naive_Mock	mock	mock	uncolonized 	3	100.53	2013
710_1	710	female	no	WT	Naive_Mock	mock	mock	uncolonized 	4	100.00	2013
710_1	710	female	no	WT	Naive_Mock	mock	mock	uncolonized 	5	97.86	2013
710_1	710	female	no	WT	Naive_Mock	mock	mock	uncolonized 	6	97.33	2013
710_1	710	female	no	WT	Naive_Mock	mock	mock	uncolonized 	7	96.26	2013
710_1	710	female	no	WT	Naive_Mock	mock	mock	uncolonized 	8	97.33	2013
710_1	710	female	no	WT	Naive_Mock	mock	mock	uncolonized 	9	97.86	2013
710_1	710	female	no	WT	Naive_Mock	mock	mock	uncolonized 	10	97.33	2013
710_1	710	female	no	WT	Naive_Mock	mock	mock	uncolonized 	11	102.14	2013
710_1	710	female	no	WT	Naive_Mock	mock	mock	uncolonized 	12	100.53	2013
710_1	710	female	no	WT	Naive_Mock	mock	mock	uncolonized 	13	101.07	2013
710_1	710	female	no	WT	Naive_Mock	mock	mock	uncolonized 	14	102.67	2013
710_1	710	female	no	WT	Naive_Mock	mock	mock	uncolonized 	16	101.60	2013
710_1	710	female	no	WT	Naive_Mock	mock	mock	uncolonized 	17	101.60	2013
710_1	710	female	no	WT	Naive_Mock	mock	mock	uncolonized 	19	103.21	2013
710_1	710	female	no	WT	Naive_Mock	mock	mock	uncolonized 	20	105.88	2013
710_1	710	female	no	WT	Naive_Mock	mock	mock	uncolonized 	22	102.67	2013
710_1	710	female	no	WT	Naive_Mock	mock	mock	uncolonized 	23	102.14	2013
710_1	710	female	no	WT	Naive_Mock	mock	mock	uncolonized 	25	103.74	2013
710_1	710	female	no	WT	Naive_Mock	mock	mock	uncolonized 	26	104.28	2013
710_1	710	female	no	WT	Naive_Mock	mock	mock	uncolonized 	28	105.88	2013
710_1	710	female	no	WT	Naive_Mock	mock	mock	uncolonized 	29	104.28	2013
710_1	710	female	no	WT	Naive_Mock	mock	mock	uncolonized 	31	104.28	2013
710_1	710	female	no	WT	Naive_Mock	mock	mock	uncolonized 	33	104.81	2013
710_1	710	female	no	WT	Naive_Mock	mock	mock	uncolonized 	34	105.35	2013
710_1	710	female	no	WT	Naive_Mock	mock	mock	uncolonized 	36	104.81	2013
710_1	710	female	no	WT	Naive_Mock	mock	mock	uncolonized 	37	106.42	2013
710_1	710	female	no	WT	Naive_Mock	mock	mock	uncolonized 	40	105.35	2013
710_1	710	female	no	WT	Naive_Mock	mock	mock	uncolonized 	41	108.56	2013
710_2	710	female	no	WT	Naive_Mock	mock	mock	uncolonized 	0	100.00	2013
710_2	710	female	no	WT	Naive_Mock	mock	mock	uncolonized 	1	98.54	2013
710_2	710	female	no	WT	Naive_Mock	mock	mock	uncolonized 	2	100.00	2013
710_2	710	female	no	WT	Naive_Mock	mock	mock	uncolonized 	3	99.51	2013
710_2	710	female	no	WT	Naive_Mock	mock	mock	uncolonized 	4	100.00	2013
710_2	710	female	no	WT	Naive_Mock	mock	mock	uncolonized 	5	97.57	2013
710_2	710	female	no	WT	Naive_Mock	mock	mock	uncolonized 	6	95.15	2013
710_2	710	female	no	WT	Naive_Mock	mock	mock	uncolonized 	7	92.23	2013
710_2	710	female	no	WT	Naive_Mock	mock	mock	uncolonized 	8	94.66	2013
710_2	710	female	no	WT	Naive_Mock	mock	mock	uncolonized 	9	97.09	2013
710_2	710	female	no	WT	Naive_Mock	mock	mock	uncolonized 	10	96.60	2013
710_2	710	female	no	WT	Naive_Mock	mock	mock	uncolonized 	11	101.46	2013
710_2	710	female	no	WT	Naive_Mock	mock	mock	uncolonized 	12	99.03	2013
710_2	710	female	no	WT	Naive_Mock	mock	mock	uncolonized 	13	100.97	2013
710_2	710	female	no	WT	Naive_Mock	mock	mock	uncolonized 	14	101.46	2013
710_2	710	female	no	WT	Naive_Mock	mock	mock	uncolonized 	16	101.94	2013
710_2	710	female	no	WT	Naive_Mock	mock	mock	uncolonized 	17	102.43	2013
710_2	710	female	no	WT	Naive_Mock	mock	mock	uncolonized 	19	105.34	2013
710_2	710	female	no	WT	Naive_Mock	mock	mock	uncolonized 	20	104.85	2013
710_2	710	female	no	WT	Naive_Mock	mock	mock	uncolonized 	22	107.77	2013
710_2	710	female	no	WT	Naive_Mock	mock	mock	uncolonized 	23	104.37	2013
710_2	710	female	no	WT	Naive_Mock	mock	mock	uncolonized 	25	102.43	2013
710_2	710	female	no	WT	Naive_Mock	mock	mock	uncolonized 	26	103.40	2013
710_2	710	female	no	WT	Naive_Mock	mock	mock	uncolonized 	28	107.77	2013
710_2	710	female	no	WT	Naive_Mock	mock	mock	uncolonized 	29	103.40	2013
710_2	710	female	no	WT	Naive_Mock	mock	mock	uncolonized 	31	106.31	2013
710_2	710	female	no	WT	Naive_Mock	mock	mock	uncolonized 	33	104.85	2013
710_2	710	female	no	WT	Naive_Mock	mock	mock	uncolonized 	34	108.25	2013
710_2	710	female	no	WT	Naive_Mock	mock	mock	uncolonized 	36	105.83	2013
710_2	710	female	no	WT	Naive_Mock	mock	mock	uncolonized 	37	109.22	2013
710_2	710	female	no	WT	Naive_Mock	mock	mock	uncolonized 	40	110.68	2013
710_2	710	female	no	WT	Naive_Mock	mock	mock	uncolonized 	41	107.28	2013
