Mouse 	Cage	Gender	Co_Housed	Genotype	Treatment_Grp	Treatment_1	Treatment_2	Colonization_stat630	Weight_D42	Weight_D43	Weight_D44	Experiment 
15_1	15	male	yes	RAG	Naive_VPI	mock	VPI	unchallenged  	22.5	23.2	19.7	2014
15_2	15	male	yes	RAG	Naive_VPI	mock	VPI	unchallenged  	23.9	23.2	20.2	2014
15_3	15	male	yes	RAG	Naive_VPI	mock	VPI	unchallenged  	22.6	22.6	19.1	2014
15_4	15	male	yes	RAG	Naive_VPI	mock	VPI	unchallenged  	23.6	23.8	20.1	2014
17_3	17	female	yes	RAG	Naive_VPI	mock	VPI	unchallenged  	19.6	19.6	20	2014
17_4	17	female	yes	RAG	Naive_VPI	mock	VPI	unchallenged  	20.1	21.1	21.2	2014
996_1	996	female	yes	WT	Naive_VPI	mock	VPI	unchallenged  	20.5	19.8	17	2014
996_2	996	female	yes	WT	Naive_VPI	mock	VPI	unchallenged  	21.2	21.8	17.6	2014
974_3	974	female	no	WT	Naive_VPI	mock	VPI	unchallenged  	21.4	20.1	18.4	2014
974_4	974	female	no	WT	Naive_VPI	mock	VPI	unchallenged  	21.7	19.9	18	2014
979_1	979	male	no	WT	Naive_VPI	mock	VPI	unchallenged  	22.7	23.7	19.9	2014
979_2	979	male	no	WT	Naive_VPI	mock	VPI	unchallenged  	22.9	22.6	20	2014
979_3	979	male	no	WT	Naive_VPI	mock	VPI	unchallenged  	23.8	24.2	20.4	2014
979_4	979	male	no	WT	Naive_VPI	mock	VPI	unchallenged  	22	23.8	19.7	2014
978_1	978	male	yes	WT	630_VPI 	630	VPI	cleared	27	26.3	24.2	2014
978_2	978	male	yes	WT	630_VPI 	630	VPI	cleared	24.6	23.9	22.1	2014
978_3	978	male	yes	WT	630_VPI 	630	VPI	cleared	26.7	26.7	24.5	2014
978_4	978	male	yes	WT	630_VPI 	630	VPI	cleared	24.9	25.1	24.4	2014
978_5	978	male	yes	WT	630_VPI 	630	VPI	cleared	24.7	23.2	22.8	2014
